ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1,Two Sum,45.6%,Easy,2.4883960324530268, https://leetcode.com/problems/two-sum, Done
2,Add Two Numbers,33.9%,Medium,2.269636101391722, https://leetcode.com/problems/add-two-numbers, Done
4,Median of Two Sorted Arrays,29.6%,Hard,2.050876170330417, https://leetcode.com/problems/median-of-two-sorted-arrays, Done
741,Cherry Pickup,33.9%,Hard,1.8321162392691122, https://leetcode.com/problems/cherry-pickup, Todo
3,Longest Substring Without Repeating Characters,30.4%,Medium,1.8014105894541743, https://leetcode.com/problems/longest-substring-without-repeating-characters, Todo
7,Reverse Integer,25.8%,Easy,1.73297236373911, https://leetcode.com/problems/reverse-integer, Todo
175,Combine Two Tables,60.8%,Easy,1.6956988952705778, https://leetcode.com/problems/combine-two-tables, Todo
21,Merge Two Sorted Lists,53.5%,Easy,1.5676206155174264, https://leetcode.com/problems/merge-two-sorted-lists, Todo
5,Longest Palindromic Substring,29.5%,Medium,1.5174071915824883, https://leetcode.com/problems/longest-palindromic-substring, Todo
15,3Sum,26.8%,Medium,1.4894785973551214, https://leetcode.com/problems/3sum, Todo
13,Roman to Integer,55.7%,Easy,1.4339144225059055, https://leetcode.com/problems/roman-to-integer, Todo
6,ZigZag Conversion,36.3%,Medium,1.2151544914446004, https://leetcode.com/problems/zigzag-conversion, Todo
195,Tenth Line,33.0%,Easy,1.1862816902916034, https://leetcode.com/problems/tenth-line, Todo
53,Maximum Subarray,46.5%,Easy,1.1698468033916782, https://leetcode.com/problems/maximum-subarray, Todo
192,Word Frequency,25.8%,Medium,1.1542304443345712, https://leetcode.com/problems/word-frequency, Todo
11,Container With Most Water,50.8%,Medium,1.1498172467169137, https://leetcode.com/problems/container-with-most-water, Todo
146,LRU Cache,33.2%,Medium,1.1414840541705635, https://leetcode.com/problems/lru-cache, Todo
14,Longest Common Prefix,35.4%,Easy,1.0701063949652634, https://leetcode.com/problems/longest-common-prefix, Todo
9,Palindrome Number,48.4%,Easy,1.0389585830023096, https://leetcode.com/problems/palindrome-number, Todo
292,Nim Game,54.9%,Easy,1.0340435601569165, https://leetcode.com/problems/nim-game, Todo
206,Reverse Linked List,62.5%,Easy,0.9491844552172142, https://leetcode.com/problems/reverse-linked-list, Todo
22,Generate Parentheses,62.7%,Medium,0.9146285119909732, https://leetcode.com/problems/generate-parentheses, Todo
312,Burst Balloons,51.8%,Hard,0.8978937096587362, https://leetcode.com/problems/burst-balloons, Todo
771,Jewels and Stones,86.4%,Easy,0.8045122974235372, https://leetcode.com/problems/jewels-and-stones, Todo
18,4Sum,33.7%,Medium,0.7870176048739561, https://leetcode.com/problems/4sum, Todo
344,Reverse String,68.5%,Easy,0.7803563983565922, https://leetcode.com/problems/reverse-string, Todo
20,Valid Parentheses,39.0%,Easy,0.7728842221115333, https://leetcode.com/problems/valid-parentheses, Todo
23,Merge k Sorted Lists,40.2%,Hard,0.744432863023671, https://leetcode.com/problems/merge-k-sorted-lists, Todo
42,Trapping Rain Water,48.9%,Hard,0.7166320474707057, https://leetcode.com/problems/trapping-rain-water, Todo
274,H-Index,36.1%,Medium,0.7105315488308892, https://leetcode.com/problems/h-index, Todo
595,Big Countries,77.3%,Easy,0.6960898016141428, https://leetcode.com/problems/big-countries, Todo
76,Minimum Window Substring,34.6%,Hard,0.641927908156958, https://leetcode.com/problems/minimum-window-substring, Todo
10,Regular Expression Matching,26.8%,Hard,0.6273817982285409, https://leetcode.com/problems/regular-expression-matching, Todo
386,Lexicographical Numbers,51.6%,Medium,0.626946543403964, https://leetcode.com/problems/lexicographical-numbers, Todo
214,Shortest Palindrome,29.8%,Hard,0.6257058997644127, https://leetcode.com/problems/shortest-palindrome, Todo
561,Array Partition I,72.0%,Easy,0.6209795294618357, https://leetcode.com/problems/array-partition-i, Todo
12,Integer to Roman,55.1%,Medium,0.618907369249803, https://leetcode.com/problems/integer-to-roman, Todo
88,Merge Sorted Array,39.4%,Easy,0.5992604670982806, https://leetcode.com/problems/merge-sorted-array, Todo
177,Nth Highest Salary,31.4%,Medium,0.5957174923400869, https://leetcode.com/problems/nth-highest-salary, Todo
8,String to Integer (atoi),15.4%,Medium,0.5871742950115802, https://leetcode.com/problems/string-to-integer-atoi, Todo
46,Permutations,63.5%,Medium,0.5710040142718329, https://leetcode.com/problems/permutations, Todo
201,Bitwise AND of Numbers Range,39.4%,Medium,0.5616591289700842, https://leetcode.com/problems/bitwise-and-of-numbers-range, Todo
176,Second Highest Salary,31.6%,Easy,0.5550999082992657, https://leetcode.com/problems/second-highest-salary, Todo
54,Spiral Matrix,34.1%,Medium,0.5477790799646545, https://leetcode.com/problems/spiral-matrix, Todo
238,Product of Array Except Self,60.1%,Medium,0.5410045911404007, https://leetcode.com/problems/product-of-array-except-self, Todo
315,Count of Smaller Numbers After Self,41.5%,Hard,0.5355270510063105, https://leetcode.com/problems/count-of-smaller-numbers-after-self, Todo
85,Maximal Rectangle,37.7%,Hard,0.505442030682518, https://leetcode.com/problems/maximal-rectangle, Todo
41,First Missing Positive,32.0%,Hard,0.4966396105083198, https://leetcode.com/problems/first-missing-positive, Todo
38,Count and Say,44.6%,Easy,0.4926620533465078, https://leetcode.com/problems/count-and-say, Todo
322,Coin Change,35.5%,Medium,0.48915086353512044, https://leetcode.com/problems/coin-change, Todo
237,Delete Node in a Linked List,63.8%,Easy,0.4849621131760714, https://leetcode.com/problems/delete-node-in-a-linked-list, Todo
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.47900593564253346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock, Todo
32,Longest Valid Parentheses,28.4%,Hard,0.4610968040943131, https://leetcode.com/problems/longest-valid-parentheses, Todo
420,Strong Password Checker,14.0%,Hard,0.4491177382659011, https://leetcode.com/problems/strong-password-checker, Todo
136,Single Number,65.5%,Easy,0.44677265180412157, https://leetcode.com/problems/single-number, Todo
148,Sort List,42.3%,Medium,0.4396170196774987, https://leetcode.com/problems/sort-list, Todo
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.4392651170596573, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii, Todo
16,3Sum Closest,46.0%,Medium,0.43554023176972845, https://leetcode.com/problems/3sum-closest, Todo
45,Jump Game II,30.6%,Hard,0.4315020818911597, https://leetcode.com/problems/jump-game-ii, Todo
535,Encode and Decode TinyURL,79.9%,Medium,0.4221173972425086, https://leetcode.com/problems/encode-and-decode-tinyurl, Todo
96,Unique Binary Search Trees,52.9%,Medium,0.42021191912831435, https://leetcode.com/problems/unique-binary-search-trees, Todo
92,Reverse Linked List II,38.8%,Medium,0.414508648004485, https://leetcode.com/problems/reverse-linked-list-ii, Todo
30,Substring with Concatenation of All Words,25.4%,Hard,0.41194709630297865, https://leetcode.com/problems/substring-with-concatenation-of-all-words, Todo
33,Search in Rotated Sorted Array,34.5%,Medium,0.40912496149364885, https://leetcode.com/problems/search-in-rotated-sorted-array, Todo
64,Minimum Path Sum,54.5%,Medium,0.4040299464061684, https://leetcode.com/problems/minimum-path-sum, Todo
279,Perfect Squares,47.4%,Medium,0.3741145782240884, https://leetcode.com/problems/perfect-squares, Todo
24,Swap Nodes in Pairs,50.4%,Medium,0.3722036149739704, https://leetcode.com/problems/swap-nodes-in-pairs, Todo
343,Integer Break,50.4%,Medium,0.3649680588757168, https://leetcode.com/problems/integer-break, Todo
31,Next Permutation,32.6%,Medium,0.3605125693237505, https://leetcode.com/problems/next-permutation, Todo
131,Palindrome Partitioning,47.5%,Medium,0.35313350367645147, https://leetcode.com/problems/palindrome-partitioning, Todo
141,Linked List Cycle,41.1%,Easy,0.3531074716115724, https://leetcode.com/problems/linked-list-cycle, Todo
200,Number of Islands,46.8%,Medium,0.348349251262677, https://leetcode.com/problems/number-of-islands, Todo
71,Simplify Path,32.6%,Medium,0.3434734320801965, https://leetcode.com/problems/simplify-path, Todo
138,Copy List with Random Pointer,36.4%,Medium,0.33465187471019453, https://leetcode.com/problems/copy-list-with-random-pointer, Todo
74,Search a 2D Matrix,36.5%,Medium,0.3339887638543654, https://leetcode.com/problems/search-a-2d-matrix, Todo
155,Min Stack,44.5%,Easy,0.32611635610879774, https://leetcode.com/problems/min-stack, Todo
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.32413298661344175, https://leetcode.com/problems/remove-duplicates-from-sorted-array, Todo
169,Majority Element,58.7%,Easy,0.32361893795459934, https://leetcode.com/problems/majority-element, Todo
37,Sudoku Solver,43.6%,Hard,0.31644637012330246, https://leetcode.com/problems/sudoku-solver, Todo
48,Rotate Image,56.7%,Medium,0.31414864563994416, https://leetcode.com/problems/rotate-image, Todo
152,Maximum Product Subarray,31.7%,Medium,0.3065980377658154, https://leetcode.com/problems/maximum-product-subarray, Todo
706,Design HashMap,61.3%,Easy,0.30607943759149703, https://leetcode.com/problems/design-hashmap, Todo
378,Kth Smallest Element in a Sorted Matrix,54.3%,Medium,0.303069224638031, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix, Todo
115,Distinct Subsequences,38.3%,Hard,0.29662714656570494, https://leetcode.com/problems/distinct-subsequences, Todo
44,Wildcard Matching,24.7%,Hard,0.29635426006094184, https://leetcode.com/problems/wildcard-matching, Todo
198,House Robber,42.0%,Easy,0.29249400591952035, https://leetcode.com/problems/house-robber, Todo
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.29062882263712253, https://leetcode.com/problems/longest-increasing-path-in-a-matrix, Todo
78,Subsets,62.0%,Medium,0.28775134131891633, https://leetcode.com/problems/subsets, Todo
234,Palindrome Linked List,39.3%,Easy,0.2838977996794123, https://leetcode.com/problems/palindrome-linked-list, Todo
139,Word Break,40.1%,Medium,0.2746475346554156, https://leetcode.com/problems/word-break, Todo
25,Reverse Nodes in k-Group,42.1%,Hard,0.2704051213089347, https://leetcode.com/problems/reverse-nodes-in-k-group, Todo
929,Unique Email Addresses,67.4%,Easy,0.26920579628420777, https://leetcode.com/problems/unique-email-addresses, Todo
204,Count Primes,31.5%,Easy,0.2622550703201888, https://leetcode.com/problems/count-primes, Todo
543,Diameter of Binary Tree,48.4%,Easy,0.26178095627491565, https://leetcode.com/problems/diameter-of-binary-tree, Todo
197,Rising Temperature,38.4%,Easy,0.2576203889657197, https://leetcode.com/problems/rising-temperature, Todo
448,Find All Numbers Disappeared in an Array,55.9%,Easy,0.2554000407912253, https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array, Todo
446,Arithmetic Slices II - Subsequence,32.7%,Hard,0.25416851512733507, https://leetcode.com/problems/arithmetic-slices-ii-subsequence, Todo
101,Symmetric Tree,46.8%,Easy,0.24399082697231922, https://leetcode.com/problems/symmetric-tree, Todo
70,Climbing Stairs,47.8%,Easy,0.24304459408434126, https://leetcode.com/problems/climbing-stairs, Todo
389,Find the Difference,55.3%,Easy,0.2421400520048648, https://leetcode.com/problems/find-the-difference, Todo
1096,Brace Expansion II,62.2%,Hard,0.2363887780642304, https://leetcode.com/problems/brace-expansion-ii, Todo
51,N-Queens,46.6%,Hard,0.2346473757956944, https://leetcode.com/problems/n-queens, Todo
137,Single Number II,52.4%,Medium,0.22735779159844866, https://leetcode.com/problems/single-number-ii, Todo
56,Merge Intervals,39.3%,Medium,0.22422141863227835, https://leetcode.com/problems/merge-intervals, Todo
19,Remove Nth Node From End of List,35.2%,Medium,0.22280456303687612, https://leetcode.com/problems/remove-nth-node-from-end-of-list, Todo
49,Group Anagrams,56.9%,Medium,0.21827224887849583, https://leetcode.com/problems/group-anagrams, Todo
